#Dateiname_orig;Referenz;EventStart;EvtDuration;EventName;EventDesc;EPGExtEvt
NASHORNZEBR11_0706051609.vid;Medion-1/[2007-06-05] Nashorn, Zebra & Co.-2-1_epg.txt;2007-06-05 16:10;00:50;Nashorn, Zebra & Co.;8. Schildkröten können wirklich stur sein;Die Temperaturen stimmen, endlich dürfen die Seychellen-Schildkröten auf die Freianlage. Der sture Filou geht dabei wie immer seiner eigenen Wege.
NASHORNZEBR12_0706051614.vid;Medion-1/[2007-06-05] Nashorn, Zebra & Co.-2-1_epg.txt;2007-06-05 16:10;00:50;Nashorn, Zebra & Co.;8. Schildkröten können wirklich stur sein;Die Temperaturen stimmen, endlich dürfen die Seychellen-Schildkröten auf die Freianlage. Der sture Filou geht dabei wie immer seiner eigenen Wege.
NASHORNZEBR13_0706051637.vid;Medion-1/[2007-06-05] Nashorn, Zebra & Co.-2-1_epg.txt;2007-06-05 16:10;00:50;Nashorn, Zebra & Co.;8. Schildkröten können wirklich stur sein;Die Temperaturen stimmen, endlich dürfen die Seychellen-Schildkröten auf die Freianlage. Der sture Filou geht dabei wie immer seiner eigenen Wege.
NASHORNZEBR14_0706051643.vid;Medion-1/[2007-06-05] Nashorn, Zebra & Co.-2-1_epg.txt;2007-06-05 16:10;00:50;Nashorn, Zebra & Co.;8. Schildkröten können wirklich stur sein;Die Temperaturen stimmen, endlich dürfen die Seychellen-Schildkröten auf die Freianlage. Der sture Filou geht dabei wie immer seiner eigenen Wege.
NASHORNZEBR15_0706051650.vid;Medion-1/[2007-06-05] Nashorn, Zebra & Co.-2-1_epg.txt;2007-06-05 16:10;00:50;Nashorn, Zebra & Co.;8. Schildkröten können wirklich stur sein;Die Temperaturen stimmen, endlich dürfen die Seychellen-Schildkröten auf die Freianlage. Der sture Filou geht dabei wie immer seiner eigenen Wege.
NASHORNZEBR16_0706051656.vid;Medion-1/[2007-06-05] Nashorn, Zebra & Co.-2-1_epg.txt;2007-06-05 16:10;00:50;Nashorn, Zebra & Co.;8. Schildkröten können wirklich stur sein;Die Temperaturen stimmen, endlich dürfen die Seychellen-Schildkröten auf die Freianlage. Der sture Filou geht dabei wie immer seiner eigenen Wege.
PINGUINLOEWE1_0711191608.vid;Medion-1/[2007-11-19] Pinguin, L�we & Co.-2-1_epg.txt;2007-11-19 16:10;00:50;Pinguin, Löwe & Co.;100. Aufnahme in den Katalog der Tiere;Geschichten aus dem Zoo Münster***Der Nachwuchs der Sternschildkröten wird für die Zoo-Datenbank erfasst. Die individuelle Panzerzeichnung jeder Schildkröte wird fotografiert, dann kommen die kleinen Tiere auf die Waage.
PINGUINLOEWE2_0711191621.vid;Medion-1/[2007-11-19] Pinguin, L�we & Co.-2-1_epg.txt;2007-11-19 16:10;00:50;Pinguin, Löwe & Co.;100. Aufnahme in den Katalog der Tiere;Geschichten aus dem Zoo Münster***Der Nachwuchs der Sternschildkröten wird für die Zoo-Datenbank erfasst. Die individuelle Panzerzeichnung jeder Schildkröte wird fotografiert, dann kommen die kleinen Tiere auf die Waage.
PINGUINLOEWE3_0711191639.vid;Medion-1/[2007-11-19] Pinguin, L�we & Co.-2-1_epg.txt;2007-11-19 16:10;00:50;Pinguin, Löwe & Co.;100. Aufnahme in den Katalog der Tiere;Geschichten aus dem Zoo Münster***Der Nachwuchs der Sternschildkröten wird für die Zoo-Datenbank erfasst. Die individuelle Panzerzeichnung jeder Schildkröte wird fotografiert, dann kommen die kleinen Tiere auf die Waage.
PINGUINLOEWE4_0711191655.vid;Medion-1/[2007-11-19] Pinguin, L�we & Co.-2-1_epg.txt;2007-11-19 16:10;00:50;Pinguin, Löwe & Co.;100. Aufnahme in den Katalog der Tiere;Geschichten aus dem Zoo Münster***Der Nachwuchs der Sternschildkröten wird für die Zoo-Datenbank erfasst. Die individuelle Panzerzeichnung jeder Schildkröte wird fotografiert, dann kommen die kleinen Tiere auf die Waage.
LagunenDnenUr_0809101129.vid;Medion-2/[2008-09-10] Lagunen, D�nen, Urw�lder-2-1_epg.txt;2008-09-10 11:30;00:45;Lagunen, Dünen, Urwälder;Im griechischen Nestos-Delta;Der Nestos entspringt in Bulgarien und mündet im nordöstlichen Griechenland, gegenüber der Insel Thassos, ins Mittelmeer. Sein Weg zum Meer war dem Fluss ursprünglich durch die Südkette der Rhodopen versperrt.
PINGUINLOEW41_0811021233.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW42_0811021253.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW43_0811021257.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW44_0811021301.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW45_0811021304.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW46_0811021307.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW47_0811021310.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
PINGUINLOEW48_0811021322.vid;Medion-2/[2008-11-02] Pinguin, L�we & Co._epg.txt:2;2008-11-02 12:30;00:50;Pinguin, Löwe & Co.;;Helle Aufregung im Zoo: Hirsche sind bei einer Umsiedlungsaktion aus ihrem Gehege ausgebrochen! Alle verfügbaren Mitarbeiter suchen nach den Ausreißern. Mit viel weniger Stress bezieht Schanierschildkröte Zelda ihr neues Zuhause.
NATURWUNDERG1_0902121416.vid;Medion-2/[2009-02-12] Naturwunder Galapagos_epg.txt:2;2009-02-12 14:15;00:45;Naturwunder Galapagos;(2/3) Inseln, die die Welt veränderten;Auf den Galapagosinseln bekam der Naturforscher Darwin die Inspiration für seine Evolutionstheorie, die die biologische Weltansicht des 19. Jahrhunderts erschütterte. Die Entstehung der Arten wurde auf eine wissenschaftliche Grundlage gestellt.
NATURWUNDERG2_0902121422.vid;Medion-2/[2009-02-12] Naturwunder Galapagos_epg.txt:2;2009-02-12 14:15;00:45;Naturwunder Galapagos;(2/3) Inseln, die die Welt veränderten;Auf den Galapagosinseln bekam der Naturforscher Darwin die Inspiration für seine Evolutionstheorie, die die biologische Weltansicht des 19. Jahrhunderts erschütterte. Die Entstehung der Arten wurde auf eine wissenschaftliche Grundlage gestellt.
NATURWUNDERG3_0902121431.vid;Medion-2/[2009-02-12] Naturwunder Galapagos_epg.txt:2;2009-02-12 14:15;00:45;Naturwunder Galapagos;(2/3) Inseln, die die Welt veränderten;Auf den Galapagosinseln bekam der Naturforscher Darwin die Inspiration für seine Evolutionstheorie, die die biologische Weltansicht des 19. Jahrhunderts erschütterte. Die Entstehung der Arten wurde auf eine wissenschaftliche Grundlage gestellt.
NATURWUNDERG4_0902121435.vid;Medion-2/[2009-02-12] Naturwunder Galapagos_epg.txt:2;2009-02-12 14:15;00:45;Naturwunder Galapagos;(2/3) Inseln, die die Welt veränderten;Auf den Galapagosinseln bekam der Naturforscher Darwin die Inspiration für seine Evolutionstheorie, die die biologische Weltansicht des 19. Jahrhunderts erschütterte. Die Entstehung der Arten wurde auf eine wissenschaftliche Grundlage gestellt.
NATURWUNDERG5_0902121448.vid;Medion-2/[2009-02-12] Naturwunder Galapagos_epg.txt:2;2009-02-12 14:15;00:45;Naturwunder Galapagos;(2/3) Inseln, die die Welt veränderten;Auf den Galapagosinseln bekam der Naturforscher Darwin die Inspiration für seine Evolutionstheorie, die die biologische Weltansicht des 19. Jahrhunderts erschütterte. Die Entstehung der Arten wurde auf eine wissenschaftliche Grundlage gestellt.
WELTDERTIERE_0904191600.vid;Medion-3/[2009-04-19] Welt der Tiere(1)_epg.txt:2;2009-04-19 16:00;00:30;Welt der Tiere;Das Heimweh der Meeresschildkröten;Putzig sehen sie aus, wenn sie mit kräftigen Bewegungen ihrer Flossen über den Strand wuseln. Aber nur ein Junges von tausend, so schätzt man, wird eines Tages zu einer ausgewachsenen Meeresschildkröte herangereift sein.
SangalakiEnts_1010121529.vid;Medion-3/[2010-10-12] Das Heimweh der Meeresschildkr�ten_epg.txt:2;2010-10-12 15:30;00:30;Sangalaki - Entscheidung am Strand der Schildkröten;;Knapp 100 Kilometer vor der Ostküste Borneos liegt das zwölf Hektar große Eiland Sangalaki. Auf den ersten Blick ein Paradies - doch Sangalaki ist ein Brennpunkt des Artenschutzes. Noch kommen jede Nacht Meeresschildkröten an Land, um ihre Eier abzulegen - so viele, wie kaum an einem anderen Strand Südostasiens. Doch ihre Nester werden jeden Morgen von Eiersammlern geplündert. Der Art droht dadurch das Aus.Ein Fernsehteam des Bayerischen Rundfunks war 1999 das erste Mal vor Ort in der Celebes-See und rief zusammen mit dem Münchener Tierpark Hellabrunn zu einer Rettungsinitiative auf. Inzwischen sind zwei Ranger vor Ort. Wird es als Folge Konflikte mit der einheimischen Bevölkerung geben, oder gelingt es, alle davon zu überzeugen, dass das Schicksal bedrohter Tierarten direkt mit dem der Menschen zusammenhängt?Der Film stellt das Rettungsprojekt vor.Film von Eberhard MeyerDeutschland, 2001
Wandererinden_1010121659.vid;Medion-3/[2010-10-12] Wanderer in den Weltmeeren_epg.txt:2;2010-10-12 17:00;00:45;Wanderer in den Weltmeeren;;Meeresschildkröten gehören zu den ältesten Lebewesen dieser Erde. Sie haben den Dinosaurier überlebt und verschiedene Katastrophen überstanden. Doch nun gefährdet der Mensch die Art durch Jagd, Erschließung der Küsten und Verschmutzung der Meere. Ob Meeresschildkröten weltweit noch eine Chance haben, hängt vor allem von Projekten ab, die einige der letzten unberührten Küstenabschnitte für die Eiablage der Echsen schützen.Eines dieser Artenschutzprojekte ist "TAMAR", die brasilianische Initiative zum Erhalt der Meeresschildkröten. In Brasilien ist die Nutzung der Eier legenden Reptilien und ihrer Nester Tradition. "TAMAR" setzt dort an, wo viele andere Naturschutzprojekte scheitern: bei den Menschen.Aus Schildkrötenschlächtern und Eiersammlern wurden durch das Projekt Bewacher der Strände, bezahlt aus parallel aufgebauten Initiativen des Projekts: kleinen Fabriken, touristischen Informationszentren und einem effektiv gemanagten Sponsorennetz.Inzwischen hat "TAMAR" sogar bei Wissenschaftlern einen guten Ruf erworben. Auf der Insel Fernando de Noronha wird das Verhalten der Meeresschildkröten erforscht.Der Film begleitet bedrohte Meeresschildkröten auf ihrer Reise und zeigt, wie sie geschützt werden.Film von Eberhard MeyerDeutschland, 1999
Die Blumenwiese (HD) EinsFestival HD 2007-09-05 12-39-02.ts;Medion-1/[2007-09-05] Die Blumenwiese-2-1_epg.txt;2007-09-05 12:40;00:45;Die Blumenwiese;Wunderwelt am Wegesrand;Jeder kennt sie, jeder liebt sie: die Blumenwiese. Ein Meer aus leuchtenden Farben und filigranen Formen, dem tropischen Korallenriff durchaus ebenbürtig. Ein Paradies für unzählige Tiere.
Nashorn, Zebra & Co [02.03.2010].TS;Medion-3/[2010-03-02] Nashorn, Zebra & Co.(2)-2-1_epg.txt;2010-03-02 16:10;00:50;Nashorn, Zebra & Co.;(93) Haben Elefanten Angst vor Monstern? - Zoogeschichten aus dem Münchner Tierpark Hellabrunn;Ein Riesenmonster will zu den Elefanten - bricht da etwa Panik aus? Eisbären sind in freier Natur perfekte Jäger und brauchen dafür eine feine Nase: Frank macht diesmal bei Yogi und Lisar einen Geruchstest.
Expedition Mittelm2.trp;Eycos-RH\Expedition Mittelm2\Expedition Mittelm2.epg;2013-12-17 19:30;00:45;Expedition Mittelmeer (2/5);Grenzgänger;Das Mittelmeer ist Sehnsuchtsort und Reiseziel für Millionen von  Menschen. Jeder meint, es zu kennen, doch seine Entstehung, seine Tierwelt und die Spuren, die der Mensch über Jahrtausende hier hinterlassen hat, sind noch immer voller Geheimnisse. Die Reiseroute beginnt an den Toren des Mittelmeers vor der Meerenge von Gibraltar und führt bis nach Marokko. Hier lassen sich Meeresschildkröten beobachten, die eine weite Reise aus der Karibik hinter sich haben.Produziert in HD
Expedition Mittelm5.trp;Eycos-RH\Expedition Mittelm5\Expedition Mittelm5.epg;2013-12-20 19:30;00:45;Expedition Mittelmeer (5/5);Die letzten ihrer Art;Obwohl der Tourismus den Lebensraum für zahlreiche Tiere zerstört, gibt es Hoffnung. Denn immer mehr Menschen engagieren sich für den Naturschutz. Noch ist der Mittelmeerraum reich an Arten. Allein im Wasser kommen über 16.000 Tierarten, vom Einzeller über Meeresschildkröten bis hin zu den Walen vor. Doch in keinem Meer der Erde sind die Tiere stärker bedroht als hier. Über 40 Fischarten aus dem Mittelmeer, darunter einige Thunfischarten, sind unmittelbar vom Aussterben bedroht. Und auch die Meeresschildkröten sind in ihrer Existenz gefährdet. Produziert in HD
12oder3_0408211654.vid;;2004-08-21 16:55;00:25;1, 2 oder 3;Schildkröten;
360DieGeoRepo_0408110219.vid;;2004-08-11 02:15;00:26;Rückkehr der Meeresschildkröten;;Reportage von Julia Knobloch, Tino Schrödl, Deutschland 2003, ARTE"360° - Die Geo-Reportage" folgt der Biologin Martha Melendez an den Strand von Mazunte an der Pazifikküste Mexikos, wo Zehntausende Schildkröten ihre Nester graben. Es gibt weltweit nur wenige andere Orte, an denen die bedrohte Grüne Bastardschildkröte ihre Eier ablegt. Überall wurde sie einst gejagt, heute ist sie streng geschützt.
45JAHRETIERPA_0410170019.vid;;2004-10-17 00:05;00:30;45 Jahre Tierpark Berlin-Friedrichsfelde;Geschichte und Geschichten;Film von Hanna LehmbacherFreuen Sie sich auf einen unterhaltsamen Rückblick auf 45 Jahre Tierparkgeschichte.Dr. Wolfgang Grummt, bis zu seiner Pensionierung lange Jahre stellvertretender Direktor, hat seit 1956 die Geschichte des Tierparks mitgestaltet. Anhand von Archivmaterial erzählt er Geschichten und Anekdoten aus seiner Tierparkzeit.
AbenteuerWild_0402091514.vid;;2004-02-09 15:15;00:45;Abenteuer Wildnis;Vom Alltag wilder Tiere ... wie sie sich tarnen;Alle Lebewesen kommen mit einer speziellen Hülle zur Welt. Und dabei kennt die Natur keine Grenzen. Die Hülle kann wie eine Haut sein, und manchmal besteht sie aus Fell.Andere Tiere tragen ein Federkleid oder eine dicke, panzerartige Umhüllung. Und oftmals kann sich dieses Kleid auch der Umgebung anpassen. Das alles dient der Tarnung und somit dem Überleben.Breitbild 16:9
AbenteuerWild_0402181513.vid;;2004-02-18 15:15;00:45;Abenteuer Wildnis;Liebenswerte Urzeitwesen;Sie waren schon da, als ihre mächtige Verwandtschaft, die Saurier, die Erde unter ihren Säulenbeinen erdröhnen ließ - Schildkröten. In Griechenland gehören sie noch immer zu den Symbolen einer klassisch-schönen Kulturlandschaft.Der Film berichtet von ihrer Umsiedlung und den Eingewöhnungsschwierigkeiten im neuen,sicheren Gebiet, von ihren Begegnungen mit Hirten, Schlangen und Skorpionen. Er zeigt eines der absonderlichsten Paarungsrituale der Tierwelt und beobachtet die ersten Schritte der frisch geschlüpften Reptilienbabys.
ALSDIEDINOSV2_0408041514.vid;;2004-08-04 15:15;00:45;Abenteuer Wildnis;Als die Dinos verschwanden;Mit weit aufgerissenem Maul jagen mächtige Echsen friedliche Pflanzenfresser. Über ihren Köpfen schweben Flugsaurier, und im Wasser lauern tonnenschwere, fast 20 Meter lange Riesenkrokodile auf Beute. So etwa muss man sich die Zeit vor 65 Millionen Jahren vorstellen. Dann kam es jedoch zu einem rätselhaften Ereignis. Eine Naturkatastrophe unvorstellbaren Ausmaßes muss unseren Planeten erschüttert haben. Zwei Drittel allen Lebens wurden ausgelöscht.Das Team um Wendy Darke zeigt die Katastrophe in beeindruckenden Bildern.
ARCHIMEDES_0408192316.vid;;2004-08-19 23:05;00:25;Schnecken - langsam, aber erfolgreich!;;Seit zwei Jahren liegt der Dokumentarfilmer Andreas Heindl auf der Lauer und beobachtet das geheime Leben der Schnecken. Dabei stößt er immer wieder auf eine Welt voller wunderbarer Formen und Techniken, die die erfolgreichen Vorfahren der schleimigen Lebenskünstler im Verlauf von Millionen von Jahren entwickelt haben.Die heutigen Landschnecken stammen von Arten ab, die im Ozean lebten. Sie passten sich dem Leben an Land an und entwickelten eine Lunge. Der Schleim schützt die Tiere vor Austrocknung.
DIEGIFTIGSTE1_0408221315.vid;;2004-08-22 13:15;00:45;Die giftigsten Tiere;;
DieGlorieuses_0406171358.vid;;2004-06-17 14:00;00:41;Die Glorieuses-Inseln - Paradies der Meeresschildkröten;;Dokumentation von Rémy TézierFrankreich 2001, ARTE FDie Dokumentation führt auf die nordwestlich von Madagaskar im Kanal von Mosambik gelegenen Glorieuses-Inseln. Diese unbesiedelten französischen Inseln - sie sind wie Korallensplitter im Indischen Ozean verstreut - zählen zu den weltweit letzten Lege- und Brutstätten der grünen Meeresschildkröten.
DIELETZTENPA1_0408312303.vid;;2004-08-31 23:00;00:45;Die letzten Paradiese;Walhaie und Riesenschlangen (8/8);Das Thermometer zeigt 50 Grad in Pilbara. Alles scheint ausgestorben. Nur eine Furcht einflößende Python schlängelt ihre sechs Meter Länge lautlos züngelnd durchs zerklüftete Gelände. Über einen Meter kann sie sich aufrichten, um nach Beute Ausschau zu halten.Der Großwaran ist eigentlich nachts aktiv. Dann aber schlägt die Urzeitechse gewaltig zu. Dem Zuschauer stockt beim dramatischen, mörderischen Kampf eines Großwarans gegen eine Python der Atem.Breitbild 16:9
DieletztenPar_0408250340.vid;;2004-08-25 03:40;00:45;Die letzten Paradiese;Riesenschildkröten (7/8);Mitten im Indischen Ozean erhebt sich das größte Atoll der Welt, das legendenumwobene Aldabra. Hier tummeln sich die letzten Land-Riesenschildkröten mit einer Größe von einem Meter und rund 250 Kilogramm Gewicht.Auch die Lagune bietet ein einmaliges Spektakel: Durch den Tidenhub von bis zu zehn Metern leert sich die Lagune durch wenige kleine Kanäle. Auf diesen "Wasserautobahnen" rauschen die Fische ins freie Meer. Dort warten Haie ...Breitbild 16:9
DiesanftenRie_0411162016.vid;;2004-11-16 20:15;00:45;Die sanften Riesen;Von den Schildkröten der Seychellen (1/5);Riesenschildkröten gehören zweifelsohne zu den Hauptattraktionen der Natur auf den Seychellen. Doch die Seefahrer, die in den Schildkröten willkommenen Reiseproviant sahen, brachten die Tierart bis an den Rand der Ausrottung.Die Forscherin und Naturschützerin Anne-Claire Rulie beobachtete monatelang die Schildkröten, zählte und markierte sie und überwachte den Aufwuchs der Jungtiere.Format 16:9
DIEWUSTELEBT1_0411020124.vid;;2004-11-02 01:10;01:20;Die Wüste lebt;;Die Wüste lebtThe Living DesertDokumentarfilm USA 1954Regie: James Algar(ab 6)
DIEWUSTELEBT2_0411011258.vid;;2004-11-01 11:50;01:35;Die Wüste lebt;;Zwei Jahre lang reiste das Disney-Filmteam zu Dreharbeiten in die Sierra Madre, ein Wüstengebiet, das sich von Oregon bis Mexiko und von Kalifornien bis Texas erstreckt. Fernab der Zivilisation ist dort eine Welt erhalten geblieben, in der Lebewesen unglaubliche Fähigkeiten entwickelt haben, um sich gegen die unbarmherzige Natur zu behaupten. Dem Disney-Filmteam gelangen spektakuläre Aufnahmen, die noch heute verblüffen.
DIEWUSTELEBT3_0411011314.vid;;2004-11-01 11:50;01:35;Die Wüste lebt;;Zwei Jahre lang reiste das Disney-Filmteam zu Dreharbeiten in die Sierra Madre, ein Wüstengebiet, das sich von Oregon bis Mexiko und von Kalifornien bis Texas erstreckt. Fernab der Zivilisation ist dort eine Welt erhalten geblieben, in der Lebewesen unglaubliche Fähigkeiten entwickelt haben, um sich gegen die unbarmherzige Natur zu behaupten. Dem Disney-Filmteam gelangen spektakuläre Aufnahmen, die noch heute verblüffen.
DIEZEHNAELTE1_0411071300.vid;;2004-11-07 13:00;00:45;Die zehn ältesten Tiere der Welt;;Die Riesenschildkröte Harriet ist eine wahre Zeitreisende. Sie wurde einst von Charles Darwin von den Galapagos Inseln nach London gebracht. Heute lebt die 172-jährige alte Dame in Australien.Aber warum werden einige Tiere so alt, wohingegen das Leben anderer in nur wenigen Stunden vorbeifliegt? Diesem Geheimnis versucht der Film ein Stückchen näher zu kommen und stellt dabei die Top Ten der ältesten Tiere vor.
DIEZEHNAELTE2_0411032044.vid;;2004-11-03 20:15;00:45;Die zehn ältesten Tiere der Welt;;Die Riesenschildkröte Harriet ist eine wahre Zeitreisende. Sie wurde einst von Charles Darwin von den Galapagos Inseln nach London gebracht. Heute lebt die 172-jährige alte Dame in Australien.Aber warum werden einige Tiere so alt, wohingegen das Leben anderer in nur wenigen Stunden vorbeifliegt? Diesem Geheimnis versucht der Film ein Stückchen näher zu kommen und stellt dabei die Top Ten der ältesten Tiere vor.
